Date,open,high,low,close,adj_close,volume
2019-01-01,1125.25,1127.300049,1110.099976,1121,1121,4455850
2019-01-02,1114.5,1127,1101,1106.400024,1106.400024,7144970
2019-01-03,1107.5,1114.599976,1090.099976,1092.75,1092.75,7446457
2019-01-04,1097.400024,1104.449951,1081.099976,1098.650024,1098.650024,8465141
2019-01-07,1107,1118.449951,1101,1104.75,1104.75,5513559
2019-01-08,1105.099976,1109.949951,1096,1104.650024,1104.650024,5625153
2019-01-09,1112,1117,1098.699951,1110.75,1110.75,5766805
2019-01-10,1107.75,1111,1103,1107.5,1107.5,4080283
2019-01-11,1107.599976,1113.800049,1088.599976,1098.050049,1098.050049,6463903
2019-01-14,1095,1100.5,1086.400024,1096.800049,1096.800049,4111782
2019-01-15,1105,1132,1105,1129.650024,1129.650024,10062875
2019-01-16,1135,1145,1130.349976,1135.900024,1135.900024,6382777
2019-01-17,1144.449951,1147.900024,1130,1134.449951,1134.449951,7487963
2019-01-18,1148.800049,1189.900024,1135.25,1184.349976,1184.349976,25684142
2019-01-21,1194,1239.949951,1188.650024,1237.699951,1237.699951,22038534
2019-01-22,1232.849976,1246.949951,1219.599976,1235.150024,1235.150024,16552819
2019-01-23,1233.300049,1244.199951,1222,1226.300049,1226.300049,8829502
2019-01-24,1225,1253.199951,1220.099976,1247.449951,1247.449951,13155185
2019-01-25,1250.449951,1264.699951,1235.400024,1246,1246,8550836
2019-01-28,1250.5,1255.949951,1222.400024,1229.550049,1229.550049,8569265
2019-01-29,1231,1231.650024,1201.349976,1210.650024,1210.650024,9328866
2019-01-30,1215,1225,1191.099976,1195.699951,1195.699951,7846940
2019-01-31,1202,1229.699951,1201,1227.150024,1227.150024,10185347
2019-02-01,1234,1255,1227.050049,1249.949951,1249.949951,9228965
2019-02-04,1247,1296.949951,1242.050049,1290.900024,1290.900024,11670570
2019-02-05,1292,1304.400024,1278.599976,1291.550049,1291.550049,9362406
2019-02-06,1296.25,1317.650024,1294.25,1310.25,1310.25,9411585
2019-02-07,1310.25,1321.199951,1286.099976,1290.400024,1290.400024,9212227
2019-02-08,1284.800049,1300.5,1272.25,1277.699951,1277.699951,6505502
2019-02-11,1275.900024,1276,1251,1253.25,1253.25,7523999
2019-02-12,1251.5,1272.349976,1251.5,1256.400024,1256.400024,6399485
2019-02-14,1241,1241,1218,1224.199951,1224.199951,6627360
2019-02-15,1229.75,1249.900024,1214,1244.449951,1244.449951,9597961
2019-02-18,1250,1252.5,1215,1220.099976,1220.099976,9649017
2019-02-19,1218,1239.699951,1211.199951,1216.099976,1216.099976,6244189
2019-02-20,1223.849976,1240,1219,1234.349976,1234.349976,6298179
2019-02-21,1236,1257.800049,1229.349976,1246.900024,1246.900024,10580178
2019-02-22,1244.599976,1245.300049,1226,1232.349976,1232.349976,8755865
2019-02-25,1236,1243,1220.650024,1232.300049,1232.300049,7852528
2019-02-26,1209.5,1234.800049,1206,1220.25,1220.25,10131050
2019-02-27,1228.050049,1244.900024,1209,1223.5,1223.5,11113182
2019-02-28,1233.75,1239.849976,1226.550049,1231.050049,1231.050049,11286916
2019-03-01,1237,1242.349976,1222.25,1226.050049,1226.050049,7922513
2019-03-05,1223.400024,1239.800049,1218.599976,1237.650024,1237.650024,7121509
2019-03-06,1239.800049,1273.099976,1235.099976,1264.800049,1264.800049,12038231
2019-03-07,1264,1279.800049,1258.150024,1270.25,1270.25,8109259
2019-03-08,1266.050049,1274.449951,1262,1267.099976,1267.099976,6040052
2019-03-11,1270.050049,1312,1268,1304.099976,1304.099976,9718840
2019-03-12,1316.900024,1334,1314.25,1331.349976,1331.349976,11228736
2019-03-13,1337,1360,1328.099976,1347.300049,1347.300049,11236048
2019-03-14,1349.75,1362,1336.099976,1341.550049,1341.550049,10402048
2019-03-15,1345,1358.800049,1311.199951,1321.650024,1321.650024,15893093
2019-03-18,1331,1357.949951,1329,1350.050049,1350.050049,10105234
2019-03-19,1360,1380,1343.099976,1376.550049,1376.550049,9805318
2019-03-20,1377.800049,1388,1364,1375.449951,1375.449951,9892823
2019-03-22,1372.5,1380.900024,1336.699951,1341.75,1341.75,11465112
2019-03-25,1330.599976,1336.849976,1316.699951,1324.449951,1324.449951,7951992
2019-03-26,1330.300049,1371.599976,1330,1367.25,1367.25,9479288
2019-03-27,1377.949951,1377.949951,1344.25,1349.25,1349.25,10094174
2019-03-28,1350.25,1369.800049,1342.800049,1360,1360,10482938
2019-04-01,1370,1406.800049,1362.550049,1391.849976,1391.849976,10098281
2019-04-02,1398,1403.099976,1380.099976,1389.699951,1389.699951,8012636
2019-04-03,1392.75,1403,1372,1375.199951,1375.199951,7849461
2019-04-04,1379,1383.699951,1347.25,1353.050049,1353.050049,8375674
2019-04-05,1360.949951,1363.900024,1343,1353.900024,1353.900024,6728239
2019-04-08,1356,1357.5,1323.699951,1329.25,1329.25,8723577
2019-04-09,1328.900024,1340.699951,1321,1334.449951,1334.449951,9497621
2019-04-10,1337.949951,1348,1326.5,1331.400024,1331.400024,7612711
2019-04-11,1332.949951,1353,1329,1346.800049,1346.800049,5741333
2019-04-12,1350,1356.900024,1336.650024,1343.099976,1343.099976,5919742
2019-04-15,1345,1348.949951,1335,1340.150024,1340.150024,4245127
2019-04-16,1345,1360,1340,1343.75,1343.75,7936553
2019-04-18,1375,1389.75,1365,1385.949951,1385.949951,17960482
2019-04-22,1360,1367,1341.300049,1345.349976,1345.349976,10792748
2019-04-23,1348,1373,1346,1363.849976,1363.849976,9055300
2019-04-24,1370.300049,1394.800049,1366.25,1389.5,1389.5,7360887
2019-04-25,1389.099976,1412.400024,1362.599976,1372.400024,1372.400024,13929820
2019-04-26,1375,1395.949951,1370.699951,1392.800049,1392.800049,6889444
2019-04-30,1396.400024,1396.400024,1366.800049,1392.800049,1392.800049,10217019
2019-05-02,1392,1413.900024,1382.099976,1405.050049,1405.050049,8682505
2019-05-03,1407.949951,1417.5,1402.650024,1408.849976,1408.849976,6510169
2019-05-06,1398,1402.800049,1378.099976,1384.900024,1384.900024,7237910
2019-05-07,1394.800049,1395,1340.199951,1343.5,1343.5,8876945
2019-05-08,1340,1340,1292.199951,1299.449951,1299.449951,14610543
2019-05-09,1288.800049,1288.800049,1251.75,1256.449951,1256.449951,19507368
2019-05-10,1265,1277.699951,1245,1251.150024,1251.150024,11226831
2019-05-13,1247.900024,1260.800049,1227.5,1232.050049,1232.050049,8047801
2019-05-14,1236.5,1269.349976,1231.5,1260.449951,1260.449951,13000566
2019-05-15,1273,1275.800049,1264.25,1274.099976,1274.099976,3245371
